영화명	개봉일	매출액	매출액 점유율	관객수	스크린수	상영횟수	대표국적	국적	배급사
범죄도시 2	44699	1.31298E+11	0.14	12693322	2521	355767	한국	한국	"주식회사 에이비오엔터테인먼트,메가박스중앙(주)플러스엠"
탑건: 매버릭	44734	87790535891	0.094	8170955	1975	248973	미국	미국	롯데컬처웍스(주)롯데엔터테인먼트
한산: 용의 출현	44769	73678377377	0.079	7261728	2223	217666	한국	한국	롯데컬처웍스(주)롯데엔터테인먼트
공조2: 인터내셔날	44811	70617788384	0.075	6940032	2389	270083	한국	한국	(주)씨제이이엔엠
닥터 스트레인지: 대혼돈의 멀티버스	44685	62648774870	0.067	5884595	2691	211097	미국	미국	월트디즈니컴퍼니코리아 유한책임회사
헌트	44783	44591580553	0.048	4351463	1625	170948	한국	한국	메가박스중앙(주)플러스엠
토르: 러브 앤 썬더	44748	29505081721	0.032	2716306	2143	107527	미국	미국	월트디즈니컴퍼니코리아 유한책임회사
쥬라기 월드: 도미니언	44713	29237071310	0.031	2837410	2218	86427	미국	미국	유니버설픽쳐스인터내셔널 코리아(유)
마녀(魔女) Part2. The Other One	44727	28922488670	0.031	2806501	1796	94940	한국	한국	(주)넥스트엔터테인먼트월드(NEW)
미니언즈2	44762	21996388172	0.024	2268505	1394	78954	미국	미국	유니버설픽쳐스인터내셔널 코리아(유)
비상선언	44776	20926361328	0.022	2058762	1734	73043	한국	한국	(주)쇼박스
육사오(6/45)	44797	19765121880	0.021	1977387	1339	105889	한국	한국	"(주)홈초이스,(주)싸이더스"
헤어질 결심	44741	19563583325	0.021	1886031	1374	79066	한국	한국	(주)씨제이이엔엠
스파이더맨: 노 웨이 홈	44545	19496498450	0.021	1991050	2162	131941	미국	미국	소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
외계+인 1부	44762	15987858548	0.017	1538508	1959	68410	한국	한국	(주)씨제이이엔엠
브로커	44720	12586786030	0.013	1261131	1594	66203	한국	한국	(주)씨제이이엔엠
해적: 도깨비 깃발	44587	12523963990	0.013	1339242	1708	117320	한국	한국	롯데컬처웍스(주)롯데엔터테인먼트
신비한 동물들과 덤블도어의 비밀	44664	12305212580	0.013	1195443	2207	106090	미국	미국	워너브러더스 코리아(주)
인생은 아름다워	44832	9870799332	0.011	1053987	1285	94424	한국	한국	롯데컬처웍스(주)롯데엔터테인먼트
더 배트맨	44621	9339130700	0.01	904238	2370	97370	미국	미국	워너브러더스 코리아(주)
정직한 후보2	44832	8381675866	0.009	890527	1318	76740	한국	한국	(주)넥스트엔터테인먼트월드(NEW)
씽2게더	44566	8189737050	0.009	884387	1251	72567	미국	미국	유니버설픽쳐스인터내셔널 코리아(유)
킹메이커	44587	7318959610	0.008	775968	1185	80072	한국	한국	메가박스중앙(주)플러스엠
언차티드	44608	7116304100	0.008	730924	1536	77036	미국	미국	소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교	44832	6787371059	0.007	677687	873	30125	일본	일본	(주)씨제이이엔엠
경관의 피	44566	6687389520	0.007	679503	1187	57409	한국	한국	(주)에이스메이커무비웍스
극장판 주술회전 0	44609	6583933979	0.007	660283	843	66601	일본	일본	(주)대교 미디어콘텐츠사업본부
블랙 아담	44853	6284912912	0.007	607581	1524	53623	미국	미국	워너브러더스 코리아(주)
극장판 포켓몬스터DP: 기라티나와 하늘의 꽃다발 쉐이미	44713	5477087710	0.006	581223	809	14101	일본	일본	(주)넥스트엔터테인먼트월드(NEW)
명탐정 코난: 할로윈의 신부	44755	5066571124	0.005	486046	758	19128	일본	일본	(주)씨제이이엔엠
이상한 나라의 수학자	44629	5045088520	0.005	534250	1357	72423	한국	한국	(주)쇼박스
늑대사냥	44825	4768361793	0.005	458617	1226	39211	한국	한국	"TCO(주)더콘텐츠온,씨제이 씨지브이(CJ CGV)(주)"
놉	44790	4702282135	0.005	415243	1031	31740	미국	미국	유니버설픽쳐스인터내셔널 코리아(유)
모비우스	44650	4669517390	0.005	475928	1696	71160	미국	미국	소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
뽀로로 극장판 드래곤캐슬 대모험	44770	4191306075	0.004	447571	748	17843	한국	한국	(주)넥스트엔터테인먼트월드(NEW)
특송	44573	4172193200	0.004	443177	996	48006	한국	한국	(주)넥스트엔터테인먼트월드(NEW)
킹스맨: 퍼스트 에이전트	44552	4159334510	0.004	406904	913	27268	미국	미국	월트디즈니컴퍼니코리아 유한책임회사
니 부모 얼굴이 보고 싶다	44678	3949575280	0.004	416524	1008	39190	한국	한국	(주)마인드마크
아바타 리마스터링	44825	3895090540	0.004	230712	285	9881	미국	미국	월트디즈니컴퍼니코리아 유한책임회사
뜨거운 피	44643	3782750970	0.004	398090	1279	53956	한국	한국	"(주)스튜디오디에이치엘,(주)키다리스튜디오"
배드 가이즈	44685	3779400170	0.004	400053	844	22864	미국	미국	유니버설픽쳐스인터내셔널 코리아(유)
버즈 라이트이어	44727	3511379460	0.004	344689	844	21868	미국	미국	월트디즈니컴퍼니코리아 유한책임회사
그대가 조국	44706	3110252870	0.003	333633	601	11222	한국	한국	(주)엣나인필름
수퍼 소닉2	44657	2848373410	0.003	315123	1129	27104	미국	미국	롯데컬처웍스(주)롯데엔터테인먼트
DC 리그 오브 슈퍼-펫	44783	2322641159	0.002	248798	585	13069	미국	미국	워너브러더스 코리아(주)
나일 강의 죽음	44601	2242081480	0.002	232883	1041	34168	미국	미국	월트디즈니컴퍼니코리아 유한책임회사
극장판 헬로카봇: 수상한 마술단의 비밀	44832	2111022638	0.002	225134	790	12403	한국	한국	롯데컬처웍스(주)롯데엔터테인먼트
문폴	44636	1962779300	0.002	195346	1174	32498	미국	미국	(주)누리픽쳐스
리멤버	44860	1821332865	0.002	191535	1189	17833	한국	한국	(주)에이스메이커무비웍스
자백	44860	1801330186	0.002	186510	1115	18496	한국	한국	롯데컬처웍스(주)롯데엔터테인먼트
에브리씽 에브리웨어 올 앳 원스	44846	1758971149	0.002	164630	620	15560	미국	미국	워터홀컴퍼니(주)
오펀: 천사의 탄생	44846	1731504232	0.002	170178	707	19052	미국	미국	메가박스중앙(주)
인생은 뷰티풀: 비타돌체	44811	1667323500	0.002	52969	107	1540	한국	한국	"씨제이 씨지브이(CJ CGV)(주),씨제이포디플렉스 주식회사"
앵커	44671	1651791610	0.002	171255	1032	26638	한국	한국	(주)에이스메이커무비웍스
극장판 엄마 까투리: 도시로 간 까투리 가족	44812	1593432099	0.002	171536	616	9302	한국	한국	(주)넥스트엔터테인먼트월드(NEW)
불릿 트레인	44797	1544806073	0.002	142639	904	19949	미국	미국	소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
공기살인	44673	1473339250	0.002	158265	756	20626	한국	한국	"TCO(주)더콘텐츠온,씨제이 씨지브이(CJ CGV)(주)"
하우스 오브 구찌	44573	1415370730	0.002	143605	734	16256	미국	미국	유니버설픽쳐스인터내셔널 코리아(유)
극장판 엉덩이 탐정: 수플레 섬의 비밀	44686	1409812740	0.002	152727	770	8739	일본	일본	(주)넥스트엔터테인먼트월드(NEW)
웨스트 사이드 스토리	44573	1225528640	0.001	122706	754	15317	미국	미국	월트디즈니컴퍼니코리아 유한책임회사
해피 뉴 이어	44559	1183820530	0.001	122596	771	11274	한국	한국	"(주)씨제이이엔엠,주식회사 티빙"
앰뷸런스	44657	1156403110	0.001	117512	1033	23386	미국	미국	유니버설픽쳐스인터내셔널 코리아(유)
스마일	44840	1094854766	0.001	102996	455	7454	미국	미국	롯데컬처웍스(주)롯데엔터테인먼트
블랙폰	44811	1080449042	0.001	107215	495	10805	미국	미국	유니버설픽쳐스인터내셔널 코리아(유)
엘비스	44755	1076370628	0.001	99084	665	9741	미국	미국	워너브러더스 코리아(주)
서울괴담	44678	1076281490	0.001	112725	474	9027	한국	한국	메가박스중앙(주)플러스엠
극장판 안녕 자두야: 제주도의 비밀	44588	1069801980	0.001	121442	618	13711	한국	한국	(주)씨제이이엔엠
듄	44489	1065568860	0.001	73786	78	2327	미국	미국	워너브러더스 코리아(주)
로스트 시티	44671	1023084850	0.001	113186	835	19963	미국	미국	롯데컬처웍스(주)롯데엔터테인먼트
세븐틴 파워 오브 러브 : 더 무비	44671	967402500	0.001	48383	151	2897	한국	한국	"씨제이포디플렉스 주식회사,CGV ICECON"
안테벨룸	44615	899691250	0.001	95983	638	14011	미국	미국	(주)올스타엔터테인먼트
알라딘	43608	881411000	0.001	74150	39	2599	미국	미국	월트디즈니컴퍼니코리아 유한책임회사
스텔라	44657	871870300	0.001	97312	690	17698	한국	한국	씨제이 씨지브이(CJ CGV)(주)
스펜서	44636	782492830	0.001	83117	730	16508	영국	영국	"(주)영화특별시에스엠씨,그린나래미디어(주)"
바다 탐험대 옥토넛 : 탐험선 대작전	44784	744749950	0.001	78910	241	4323	영국	영국	와이드 릴리즈(주)
인민을 위해 복무하라	44615	709334190	0.001	79105	598	12221	한국	한국	(주)제이앤씨미디어그룹
극장판 5등분의 신부	44826	665399800	0.001	61674	91	2553	일본	일본	(주)애니플러스
시맨틱 에러: 더 무비	44804	654437000	0.001	59206	57	1268	한국	한국	주식회사 왓챠
리미트	44804	619697902	0.001	66326	687	13027	한국	한국	"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹"
더 킬러: 죽어도 되는 아이	44755	601780660	0.001	60175	314	4090	한국	한국	"(주)아이에이치큐,(주)영화사 륙,(주)씨네필운"
티켓 투 파라다이스	44846	557973408	0.001	58404	581	9562	미국	미국	유니버설픽쳐스인터내셔널 코리아(유)
드라이브 마이 카	44553	551641780	0.001	59060	92	4987	일본	일본	(주)트리플픽쳐스
대무가	44846	550968256	0.001	61302	587	9770	한국	한국	"판씨네마(주),(주)케이티알파"
빅샤크4: 바다공룡 대모험	44748	542313280	0.001	61733	455	3299	중국	중국	와이드 릴리즈(주)
고고다이노 극장판: 얼음공룡의 비밀	44839	479012898	0.001	52049	531	4811	한국	한국	"(주)넥스트엔터테인먼트월드(NEW),(주)블루라벨픽쳐스"
나의 히어로 아카데미아 더 무비: 월드 히어로즈 미션	44629	471587590	0.001	48436	459	5557	일본	일본	(주)스마일이엔티
사랑할 땐 누구나 최악이 된다	44798	458020635	0	45044	80	2855	노르웨이	노르웨이	"그린나래미디어(주),(주)하이스트레인저"
컴백홈	44839	447612079	0	50482	603	8934	한국	한국	(주)제이앤씨미디어그룹
극장판 도라에몽: 진구의 우주소전쟁 리틀스타워즈 2021	44776	444546198	0	48098	389	3718	일본	일본	(주)스마일이엔티
355	44601	418026590	0	49098	540	9796	미국	미국	"(주)스튜디오 산타클로스엔터테인먼트,(주)제이앤씨미디어그룹"
루이스 웨인: 사랑을 그린 고양이 화가	44657	413131110	0	43846	530	9925	미국	미국	(주)씨제이이엔엠
나의 촛불	44602	405835950	0	42123	294	4337	한국	한국	트윈플러스파트너스(주)
나이트메어 앨리	44615	401511820	0	40679	461	6400	미국	미국	월트디즈니컴퍼니코리아 유한책임회사
애프터 양	44713	389098390	0	40140	161	3282	미국	미국	"(주)영화특별시에스엠씨,주식회사 왓챠"
"어쩌다 공주, 닭냥이 왕자를 부탁해!"	44812	385897280	0	40949	306	2374	프랑스	프랑스	(주)팝엔터테인먼트
극장판 귀멸의 칼날: 무한열차편	44223	361857120	0	37249	299	4156	일본	일본	워터홀컴퍼니(주)
스파이더맨: 노 웨이 홈 '펀버전'	44839	360383731	0	32821	347	5114	미국	미국	소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
민스미트 작전	44692	346200480	0	36984	459	6632	미국	미국	"(주)스튜디오 산타클로스엔터테인먼트,(주)제이앤씨미디어그룹"
비욘드라이브 더 무비 : 엔시티 레조넌스	44573	341407500	0	22726	34	525	한국	한국	씨제이 씨지브이(CJ CGV)(주)
어나더 라운드	44580	336604390	0	36263	175	3446	기타	기타	(주)엣나인필름
귀못	44853	332981900	0	39358	208	4070	한국	한국	와이드 릴리즈(주)
뒤틀린 집	44755	331549100	0	34886	156	2128	한국	한국	(주)스튜디오디에이치엘
"아치의 노래, 정태춘"	44699	327363210	0	34508	149	2634	한국	한국	(주)넥스트엔터테인먼트월드(NEW)
썸머 필름을 타고!	44762	311859026	0	32952	65	2405	일본	일본	"(주)싸이더스,(주)블루라벨픽쳐스"
배니싱: 미제사건	44650	306888110	0	36272	561	7985	프랑스	프랑스	"(주)스튜디오 산타클로스엔터테인먼트,(주)제이앤씨미디어그룹"
극장판 윌벤져스 : 수상한 캠핑 대소동	44735	293037800	0	29432	110	1097	한국	한국	(주)대교 미디어콘텐츠사업본부
신 에반게리온 극장판	44839	280374800	0	24497	93	1944	일본	일본	(주)라이크콘텐츠
그레이 맨	44755	277286160	0	29844	220	2936	미국	미국	씨제이 씨지브이(CJ CGV)(주)
중경삼림	34944	276044020	0	28876	120	2437	홍콩	홍콩	(주)디스테이션
클리포드 더 빅 레드 독	44573	267143090	0	30248	356	3420	미국	미국	롯데컬처웍스(주)롯데엔터테인먼트
엑스칼리버 더 뮤지컬 다큐멘터리: 도겸의 찬란한 여정	44839	261746000	0	11305	31	295	한국	한국	씨제이포디플렉스 주식회사
큐어	44748	257978969	0	24484	55	1667	일본	일본	M&M 인터내셔널
우연과 상상	44685	256985440	0	26046	56	2472	일본	일본	"그린나래미디어(주),(주)영화사 안다미로"
쥬라기캅스 극장판: 공룡시대 대모험	44811	245577088	0	26805	453	2984	한국	한국	메가박스중앙(주)플러스엠
봄날	44678	239876830	0	34236	455	5615	한국	한국	(주)콘텐츠판다
극장판 바다 탐험대 옥토넛 : 해저동굴 대탈출	44609	239104800	0	28704	236	3907	영국	영국	와이드 릴리즈(주)
인터스텔라	41949	235407500	0	16283	20	350	미국	"미국,영국"	워너브러더스 코리아(주)
귀멸의 칼날: 아사쿠사 편	44798	231532500	0	22388	124	2145	일본	일본	(주)박수엔터테인먼트
블랙라이트	44629	228699190	0	25401	521	6048	미국	미국	(주)퍼스트런
장민호 드라마 최종회	44585	223662200	0	11687	81	839	한국	한국	"씨제이 씨지브이(CJ CGV)(주),CGV ICECON"
레지던트 이블: 라쿤시티	44580	216277970	0	24722	276	4927	미국	미국	소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
리코리쉬 피자	44608	213876700	0	21188	222	3650	미국	미국	유니버설픽쳐스인터내셔널 코리아(유)
극장판 검정고무신 : 즐거운 나의 집	44840	211193600	0	23193	232	2123	한국	한국	"(주)대교 미디어콘텐츠사업본부,(주)블루라벨픽쳐스"
카시오페아	44713	210910300	0	24150	175	1854	한국	한국	(주)트리플픽쳐스
만년이 지나도 변하지 않는 게 있어	44601	204705110	0	24278	297	3281	대만	대만	"그린나래미디어(주),(주)영화사벌집"
시라노	44615	203932200	0	24751	195	3688	미국	미국	유니버설픽쳐스인터내셔널 코리아(유)
드래곤볼 슈퍼: 슈퍼 히어로	44818	200760639	0	18387	360	4289	일본	일본	소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
매트릭스: 리저렉션	44552	198212640	0	22413	379	2147	미국	미국	워너브러더스 코리아(주)
프리! 더 파이널 스트로크 후편	44742	188961979	0	18526	83	1435	일본	일본	(주)애니플러스
어부바	44692	188918470	0	24308	327	3509	한국	한국	(주)트리플픽쳐스
안녕하세요	44706	186265360	0	25450	297	2792	한국	한국	(주)디스테이션
십센치 : 권정열 인 시네마	44842	182562000	0	7977	20	187	한국	한국	씨제이 씨지브이(CJ CGV)(주)
엄마	44692	169848800	0	19485	190	2703	미국	미국	소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
체리마호: 30살까지 동정이면 마법사가 될 수 있대	44755	164247600	0	18501	56	1276	일본	일본	(주)영화사 그램
프린세스 아야	44825	162251896	0	20662	348	2345	한국	한국	씨제이 씨지브이(CJ CGV)(주)
말임씨를 부탁해	44664	158804570	0	21047	197	2193	한국	한국	(주)씨네필운
컴온 컴온	44742	154650500	0	16876	113	2006	미국	미국	(주)스튜디오디에이치엘
비욘드 라이브 더 무비: 엑소의 사다리 타고 세계여행3	44769	149441500	0	9060	18	331	한국	한국	씨제이 씨지브이(CJ CGV)(주)
극장판 살아남기 시리즈: 인체에서 살아남기	44783	149305000	0	15892	174	1595	일본	일본	(주)씨제이이엔엠
몬스터 아카데미	44678	146864000	0	17216	209	1475	기타	기타	와이드 릴리즈(주)
니얼굴	44735	142474600	0	15953	65	1404	한국	한국	(주)영화사 진진
